 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   400.268     400.096         0.090      144.984      9.0447e-02      6.1249e-03      5.5397e-04      4.4542e-04    6.458e-02     4.939e+02       2.33e+00    2.94e-01    332081 
   400.268     400.096         0.100      144.984      9.0447e-02      8.1204e-03      7.3446e-04      5.9030e-04    8.558e-02     3.727e+02       3.09e+00    3.89e-01    432555 
   400.268     400.096         0.150      144.984      9.0447e-02      2.0529e-02      1.8567e-03      1.4905e-03    2.161e-01     1.476e+02       7.80e+00    9.82e-01    1033677 
   400.268     400.096         0.200      144.984      9.0447e-02      3.3880e-02      3.0643e-03      2.4573e-03    3.563e-01     8.953e+01       1.29e+01    1.62e+00    1687270 
   400.268     400.096         0.250      144.984      9.0447e-02      4.6114e-02      4.1708e-03      3.3427e-03    4.846e-01     6.582e+01       1.75e+01    2.20e+00    2312941 
   400.268     400.096         0.300      144.984      9.0447e-02      5.6472e-02      5.1077e-03      4.0922e-03    5.933e-01     5.376e+01       2.14e+01    2.70e+00    2880846 
   400.268     400.096         0.400      144.984      9.0447e-02      7.2225e-02      6.5326e-03      5.2272e-03    7.579e-01     4.209e+01       2.74e+01    3.45e+00    3842338 
   400.268     400.096         0.500      144.984      9.0447e-02      8.2158e-02      7.4309e-03      5.9392e-03    8.611e-01     3.704e+01       3.11e+01    3.91e+00    4581405 
   400.268     400.096         0.600      144.984      9.0447e-02      8.8478e-02      8.0026e-03      6.3867e-03    9.260e-01     3.445e+01       3.34e+01    4.21e+00    5166620 
   400.268     400.096         0.700      144.984      9.0447e-02      9.2006e-02      8.3217e-03      6.6307e-03    9.613e-01     3.318e+01       3.47e+01    4.37e+00    5623531 
   400.268     400.096         0.800      144.984      9.0447e-02      9.3685e-02      8.4735e-03      6.7392e-03    9.771e-01     3.264e+01       3.53e+01    4.44e+00    5988412 
   400.268     400.096         0.900      144.984      9.0447e-02      9.4292e-02      8.5284e-03      6.7702e-03    9.816e-01     3.250e+01       3.54e+01    4.46e+00    6284067 
   400.268     400.096         1.000      144.984      9.0447e-02      9.4064e-02      8.5078e-03      6.7414e-03    9.774e-01     3.263e+01       3.53e+01    4.44e+00    6525446 
   400.268     400.096         1.500      144.984      9.0447e-02      8.7459e-02      7.9104e-03      6.2110e-03    9.005e-01     3.542e+01       3.25e+01    4.09e+00    7251250 
   400.268     400.096         2.000      144.984      9.0447e-02      7.8986e-02      7.1441e-03      5.5655e-03    8.069e-01     3.953e+01       2.91e+01    3.67e+00    7591215 
   400.268     400.096         2.500      144.984      9.0447e-02      7.1143e-02      6.4347e-03      4.9811e-03    7.222e-01     4.417e+01       2.61e+01    3.28e+00    7769228 
   400.268     400.096         3.000      144.984      9.0447e-02      6.4339e-02      5.8193e-03      4.4802e-03    6.496e-01     4.910e+01       2.34e+01    2.95e+00    7869973 
   400.268     400.096         4.000      144.984      9.0447e-02      5.3944e-02      4.8791e-03      3.7258e-03    5.402e-01     5.905e+01       1.95e+01    2.46e+00    7972840 
   400.268     400.096         5.000      144.984      9.0447e-02      4.6216e-02      4.1801e-03      3.1724e-03    4.599e-01     6.935e+01       1.66e+01    2.09e+00    8016899 
   400.268     400.096         6.000      144.984      9.0447e-02      4.0463e-02      3.6598e-03      2.7646e-03    4.008e-01     7.958e+01       1.45e+01    1.82e+00    8034807 
   400.268     400.096         7.000      144.984      9.0447e-02      3.5925e-02      3.2493e-03      2.4451e-03    3.545e-01     8.998e+01       1.28e+01    1.61e+00    8044065 
   400.268     400.096         8.000      144.984      9.0447e-02      3.2220e-02      2.9142e-03      2.1871e-03    3.171e-01     1.006e+02       1.14e+01    1.44e+00    8045769 
   400.268     400.096         9.000      144.984      9.0447e-02      2.9261e-02      2.6465e-03      1.9808e-03    2.872e-01     1.111e+02       1.04e+01    1.31e+00    8044328 
