 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)      EAxEE           TAxTE        EAxEExTAxTE       total_eff    xs100(fb)     xslim(fb)         Ntr          r        MCev 
   400.000     399.843         0.300      4.567      2.2490e-01      7.9731e-02      1.7931e-02      6.1200e-03    2.795e-02     3.595e+01       1.01e+00    1.27e-01    5408769 
   400.000     399.843         0.400      4.567      2.2490e-01      9.3054e-02      2.0928e-02      7.1322e-03    3.257e-02     3.085e+01       1.18e+00    1.48e-01    6736040 
   400.000     399.843         0.500      4.567      2.2490e-01      9.9289e-02      2.2330e-02      7.5985e-03    3.470e-02     2.895e+01       1.25e+00    1.58e-01    7676735 
   400.000     399.843         0.600      4.567      2.2490e-01      1.0165e-01      2.2860e-02      7.7681e-03    3.548e-02     2.832e+01       1.28e+00    1.61e-01    8364547 
   400.000     399.843         0.700      4.567      2.2490e-01      1.0157e-01      2.2844e-02      7.7515e-03    3.540e-02     2.838e+01       1.28e+00    1.61e-01    8871719 
   400.000     399.843         0.800      4.567      2.2490e-01      1.0030e-01      2.2557e-02      7.6444e-03    3.491e-02     2.878e+01       1.26e+00    1.59e-01    9265750 
   400.000     399.843         0.900      4.567      2.2490e-01      9.8196e-02      2.2084e-02      7.4739e-03    3.413e-02     2.944e+01       1.23e+00    1.55e-01    9565231 
   400.000     399.843         1.000      4.567      2.2490e-01      9.5817e-02      2.1549e-02      7.2823e-03    3.326e-02     3.021e+01       1.20e+00    1.51e-01    9806745 
   400.000     399.843         1.500      4.567      2.2490e-01      8.2519e-02      1.8558e-02      6.2342e-03    2.847e-02     3.529e+01       1.03e+00    1.29e-01    10479356 
   400.000     399.843         2.000      4.567      2.2490e-01      7.1049e-02      1.5979e-02      5.3416e-03    2.439e-02     4.119e+01       8.81e-01    1.11e-01    10755753 
   400.000     399.843         2.500      4.567      2.2490e-01      6.2092e-02      1.3964e-02      4.6493e-03    2.123e-02     4.732e+01       7.66e-01    9.65e-02    10894194 
   400.000     399.843         3.000      4.567      2.2490e-01      5.4983e-02      1.2366e-02      4.1039e-03    1.874e-02     5.361e+01       6.77e-01    8.52e-02    10965307 
   400.000     399.843         4.000      4.567      2.2490e-01      4.4628e-02      1.0037e-02      3.3136e-03    1.513e-02     6.639e+01       5.46e-01    6.88e-02    11029121 
   400.000     399.843         5.000      4.567      2.2490e-01      3.7508e-02      8.4355e-03      2.7739e-03    1.267e-02     7.931e+01       4.57e-01    5.76e-02    11050129 
   400.000     399.843         6.000      4.567      2.2490e-01      3.2335e-02      7.2721e-03      2.3851e-03    1.089e-02     9.224e+01       3.93e-01    4.95e-02    11056228 
   400.000     399.843         7.000      4.567      2.2490e-01      2.8421e-02      6.3917e-03      2.0917e-03    9.552e-03     1.052e+02       3.45e-01    4.34e-02    11055927 
   400.000     399.843         8.000      4.567      2.2490e-01      2.5360e-02      5.7034e-03      1.8623e-03    8.505e-03     1.181e+02       3.07e-01    3.87e-02    11051783 
   400.000     399.843         9.000      4.567      2.2490e-01      2.2891e-02      5.1482e-03      1.6792e-03    7.668e-03     1.310e+02       2.77e-01    3.49e-02    11046710 
   400.000     399.843         10.000      4.567      2.2490e-01      2.0812e-02      4.6805e-03      1.5241e-03    6.960e-03     1.443e+02       2.51e-01    3.16e-02    11044089 
   500.000     499.843         0.010      1.624      2.9159e-01      1.2440e-07      3.6275e-08      1.1693e-08    1.898e-08     1.881e+07       6.85e-07    8.63e-08    19 
   500.000     499.843         0.015      1.624      2.9159e-01      2.2383e-06      6.5265e-07      2.1787e-07    3.537e-07     1.010e+06       1.28e-05    1.61e-06    197 
   500.000     499.843         0.020      1.624      2.9159e-01      1.5204e-05      4.4332e-06      1.4605e-06    2.371e-06     1.506e+05       8.56e-05    1.08e-05    1087 
   500.000     499.843         0.025      1.624      2.9159e-01      5.7256e-05      1.6695e-05      5.3423e-06    8.673e-06     4.118e+04       3.13e-04    3.94e-05    3774 
   500.000     499.843         0.030      1.624      2.9159e-01      1.5478e-04      4.5132e-05      1.4345e-05    2.329e-05     1.534e+04       8.41e-04    1.06e-04    9159 
   500.000     499.843         0.040      1.624      2.9159e-01      6.1797e-04      1.8019e-04      5.6064e-05    9.102e-05     3.924e+03       3.29e-03    4.14e-04    31775 
   500.000     499.843         0.050      1.624      2.9159e-01      1.5768e-03      4.5977e-04      1.4156e-04    2.298e-04     1.554e+03       8.30e-03    1.04e-03    73392 
   500.000     499.843         0.060      1.624      2.9159e-01      3.1075e-03      9.0611e-04      2.7756e-04    4.506e-04     7.926e+02       1.63e-02    2.05e-03    134898 
   500.000     499.843         0.070      1.624      2.9159e-01      5.1911e-03      1.5137e-03      4.6146e-04    7.492e-04     4.767e+02       2.70e-02    3.41e-03    213803 
   500.000     499.843         0.080      1.624      2.9159e-01      7.7132e-03      2.2491e-03      6.8353e-04    1.110e-03     3.219e+02       4.01e-02    5.05e-03    307258 
   500.000     499.843         0.090      1.624      2.9159e-01      1.0682e-02      3.1146e-03      9.4408e-04    1.533e-03     2.330e+02       5.53e-02    6.97e-03    412944 
   500.000     499.843         0.100      1.624      2.9159e-01      1.3956e-02      4.0693e-03      1.2314e-03    1.999e-03     1.787e+02       7.22e-02    9.09e-03    528731 
   500.000     499.843         0.150      1.624      2.9159e-01      3.2321e-02      9.4245e-03      2.8361e-03    4.604e-03     7.757e+01       1.66e-01    2.09e-02    1164816 
   500.000     499.843         0.200      1.624      2.9159e-01      4.9874e-02      1.4543e-02      4.3670e-03    7.090e-03     5.038e+01       2.56e-01    3.22e-02    1793743 
   500.000     499.843         0.250      1.624      2.9159e-01      6.4536e-02      1.8818e-02      5.6468e-03    9.168e-03     3.896e+01       3.31e-01    4.17e-02    2357125 
   500.000     499.843         0.300      1.624      2.9159e-01      7.5815e-02      2.2107e-02      6.6263e-03    1.076e-02     3.320e+01       3.88e-01    4.89e-02    2838307 
   500.000     499.843         0.400      1.624      2.9159e-01      9.0734e-02      2.6457e-02      7.9245e-03    1.287e-02     2.776e+01       4.64e-01    5.85e-02    3599212 
   500.000     499.843         0.500      1.624      2.9159e-01      9.8635e-02      2.8761e-02      8.6080e-03    1.398e-02     2.556e+01       5.05e-01    6.35e-02    4156730 
   500.000     499.843         0.600      1.624      2.9159e-01      1.0206e-01      2.9759e-02      8.8998e-03    1.445e-02     2.472e+01       5.22e-01    6.57e-02    4566139 
   500.000     499.843         0.700      1.624      2.9159e-01      1.0294e-01      3.0016e-02      8.9678e-03    1.456e-02     2.453e+01       5.26e-01    6.62e-02    4874186 
   500.000     499.843         0.800      1.624      2.9159e-01      1.0232e-01      2.9835e-02      8.9088e-03    1.446e-02     2.469e+01       5.22e-01    6.57e-02    5115624 
   500.000     499.843         0.900      1.624      2.9159e-01      1.0071e-01      2.9366e-02      8.7616e-03    1.422e-02     2.511e+01       5.14e-01    6.46e-02    5302769 
   500.000     499.843         1.000      1.624      2.9159e-01      9.8766e-02      2.8799e-02      8.5859e-03    1.394e-02     2.562e+01       5.03e-01    6.34e-02    5452865 
   500.000     499.843         1.500      1.624      2.9159e-01      8.6079e-02      2.5100e-02      7.4571e-03    1.211e-02     2.950e+01       4.37e-01    5.50e-02    5881775 
   500.000     499.843         2.000      1.624      2.9159e-01      7.4599e-02      2.1752e-02      6.4427e-03    1.046e-02     3.415e+01       3.78e-01    4.75e-02    6067482 
   500.000     499.843         2.500      1.624      2.9159e-01      6.5372e-02      1.9062e-02      5.6313e-03    9.143e-03     3.907e+01       3.30e-01    4.16e-02    6162852 
   500.000     499.843         3.000      1.624      2.9159e-01      5.8093e-02      1.6939e-02      4.9970e-03    8.113e-03     4.403e+01       2.93e-01    3.69e-02    6215598 
